feature,gain_total,gain_mean
emb_148,45.12186944484711,4.512186944484711
emb_32,43.71028538496466,4.371028538496466
emb_264,43.576625287532806,4.357662528753281
emb_527,41.678167670965195,4.16781676709652
emb_121,40.5765026807785,4.05765026807785
emb_241,39.73861014842987,3.973861014842987
emb_476,38.997260093688965,3.8997260093688966
emb_443,36.96128034591675,3.6961280345916747
emb_454,36.87961963843554,3.6879619638435543
emb_67,36.13465750217438,3.6134657502174377
emb_249,35.67612612247467,3.567612612247467
emb_463,35.108387902379036,3.5108387902379037
emb_563,35.09218883514404,3.5092188835144045
emb_490,34.67008276283741,3.467008276283741
emb_453,34.111197240650654,3.4111197240650655
emb_369,34.01561810821295,3.4015618108212946
emb_167,33.046132639050484,3.3046132639050483
emb_44,31.846797835081816,3.1846797835081815
emb_98,31.57148015499115,3.157148015499115
emb_495,30.431639909744263,3.0431639909744264
emb_292,30.16837990283966,3.016837990283966
emb_444,30.095145106315613,3.0095145106315613
emb_567,29.93935990333557,2.993935990333557
emb_395,29.619440972805023,2.9619440972805022
emb_304,29.61484980583191,2.961484980583191
emb_59,29.419682443141937,2.941968244314194
emb_298,28.97353888535872,2.8973538885358723
emb_506,27.51044112816453,2.751044112816453
emb_101,26.784500169567764,2.678450016956776
emb_570,26.651676207780838,2.665167620778084
emb_19,26.5381388515234,2.65381388515234
emb_394,26.531149983406067,2.6531149983406066
emb_187,26.291996113955975,2.6291996113955975
emb_355,25.997107207775116,2.5997107207775114
emb_380,25.903669834136963,2.590366983413696
emb_271,25.86080679250881,2.5860806792508813
emb_530,25.851841738447547,2.5851841738447545
emb_290,25.729270339012146,2.5729270339012147
emb_348,25.187939882278442,2.518793988227844
emb_12,24.93610318005085,2.493610318005085
emb_473,24.7957636481151,2.4795763648115097
emb_160,23.308801591396332,2.330880159139633
emb_24,23.23238968849182,2.323238968849182
emb_492,22.316369891166687,2.2316369891166685
emb_182,21.88616806268692,2.188616806268692
emb_432,21.484163984656334,2.1484163984656335
emb_287,20.95574975013733,2.095574975013733
emb_156,20.834410071372986,2.0834410071372984
emb_274,20.681089997291565,2.0681089997291564
emb_402,20.62474186718464,2.0624741867184637
emb_162,20.55307587981224,2.055307587981224
emb_228,20.21057939529419,2.021057939529419
emb_281,20.10614374279976,2.010614374279976
emb_571,20.04480493068695,2.0044804930686952
emb_407,19.982871115207672,1.9982871115207672
emb_89,19.854790657758713,1.9854790657758712
emb_307,19.582029923796654,1.9582029923796653
emb_255,19.21884396672249,1.9218843966722488
emb_376,18.593962162733078,1.8593962162733078
emb_130,18.527399316430092,1.852739931643009
emb_514,18.436457008123398,1.8436457008123397
emb_200,18.23072385787964,1.8230723857879638
emb_328,18.187893748283386,1.8187893748283386
emb_248,17.670278191566467,1.7670278191566466
emb_52,17.669237732887268,1.7669237732887269
emb_346,17.534149765968323,1.7534149765968323
emb_272,17.311652958393097,1.7311652958393098
emb_425,17.12456339597702,1.712456339597702
emb_378,16.877062052488327,1.6877062052488327
emb_396,16.698230266571045,1.6698230266571046
emb_455,16.66037693619728,1.666037693619728
emb_509,16.654107183218002,1.6654107183218003
emb_445,16.65184274315834,1.665184274315834
emb_363,16.32650512456894,1.632650512456894
emb_393,16.259470462799072,1.6259470462799073
emb_361,16.244696313515306,1.6244696313515306
emb_17,16.10037463903427,1.6100374639034272
emb_484,15.938413083553314,1.5938413083553313
emb_77,15.579248905181885,1.5579248905181884
emb_238,15.141124069690704,1.5141124069690703
emb_341,15.133011415600777,1.5133011415600777
emb_503,14.37373971939087,1.437373971939087
emb_326,14.112308028154075,1.4112308028154075
